0.019, 0.010, 0.012, 0.011, 0.009, 0.011, 0.008, 0.010, 0.011, 0.013, 
0.017, 0.014, 0.015, 0.035, 0.014, 0.017, 0.014, 0.018, 0.014, 0.020, 
0.046, 0.049, 0.036, 0.041, 0.044, 0.042, 0.063, 0.037, 0.044, 0.042, 
0.113, 0.119, 0.115, 0.100, 0.116, 0.176, 0.146, 0.123, 0.124, 0.184, 
0.476, 0.481, 0.534, 0.451, 0.474, 0.440, 0.435, 0.464, 0.480, 0.473, 
1.864, 1.803, 1.780, 1.699, 1.787, 1.760, 1.591, 1.755, 1.666, 1.645, 
9.140, 7.461, 7.391, 7.607, 7.485, 7.662, 7.465, 7.345, 7.004, 7.008, 
31.456, 31.486, 29.089, 29.312, 24.804, 23.621, 22.470, 21.544, 21.144, 21.796, 
87.443, 88.042, 85.968, 87.956, 84.707, 87.637, 84.047, 85.609, 97.248, 92.514, 
672.902, 1022.406, 474.224, 706.398, 635.202, 604.282, 412.397, 550.110, 373.557, 1434.306, 

