0.006, 0.004, 0.002, 0.002, 0.004, 0.004, 0.003, 0.004, 0.003, 0.003, 
0.009, 0.006, 0.008, 0.007, 0.007, 0.007, 0.007, 0.006, 0.006, 0.005, 
0.018, 0.020, 0.018, 0.015, 0.017, 0.016, 0.015, 0.016, 0.017, 0.017, 
0.058, 0.056, 0.065, 0.084, 0.058, 0.055, 0.067, 0.055, 0.055, 0.069, 
0.249, 0.313, 0.245, 0.254, 0.238, 0.248, 0.247, 0.255, 0.260, 0.256, 
0.944, 1.088, 0.964, 1.081, 1.080, 1.198, 1.084, 1.093, 1.097, 1.096, 
4.141, 4.468, 4.625, 4.668, 4.624, 4.881, 4.744, 5.214, 5.121, 4.766, 
18.323, 22.468, 23.616, 40.573, 32.027, 29.222, 26.918, 26.024, 24.160, 23.009, 
92.814, 92.752, 98.545, 104.011, 102.306, 109.499, 105.904, 106.741, 110.109, 108.248, 
478.599, 541.253, 646.396, 624.330, 837.190, 711.347, 626.720, 648.555, 684.003, 1117.793, 

