0.019, 0.011, 0.013, 0.020, 0.016, 0.019, 0.013, 0.013, 0.015, 0.013, 
0.023, 0.020, 0.031, 0.021, 0.030, 0.023, 0.021, 0.021, 0.028, 0.018, 
0.057, 0.051, 0.061, 0.055, 0.065, 0.085, 0.055, 0.110, 0.072, 0.068, 
0.268, 0.170, 0.187, 0.170, 0.283, 0.182, 0.227, 0.170, 0.173, 0.216, 
0.659, 0.594, 0.599, 0.637, 0.641, 0.621, 0.651, 0.588, 0.862, 0.591, 
2.128, 1.957, 2.077, 2.082, 2.182, 1.864, 1.888, 1.980, 1.900, 1.823, 
7.070, 6.368, 6.673, 6.352, 5.871, 6.492, 7.602, 6.316, 6.660, 15.103, 
49.311, 41.504, 45.011, 58.297, 43.417, 33.819, 41.991, 53.632, 88.163, 46.149, 
118.963, 230.040, 129.228, 95.806, 89.809, 86.606, 86.029, 86.091, 83.442, 87.266, 
378.065, 338.437, 331.825, 337.635, 332.277, 327.236, 327.122, 321.720, 333.396, 337.670, 

