0.009, 0.004, 0.004, 0.005, 0.003, 0.005, 0.004, 0.005, 0.004, 0.005, 
0.008, 0.009, 0.010, 0.007, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 
0.021, 0.021, 0.025, 0.021, 0.025, 0.027, 0.019, 0.022, 0.017, 0.028, 
0.079, 0.085, 0.089, 0.092, 0.095, 0.102, 0.074, 0.085, 0.079, 0.081, 
0.344, 0.382, 0.388, 0.322, 0.411, 0.400, 0.273, 0.324, 0.350, 0.343, 
1.573, 1.651, 1.720, 1.546, 1.692, 1.911, 1.624, 2.120, 1.810, 1.758, 
7.709, 8.449, 7.913, 6.913, 7.043, 7.644, 6.997, 9.109, 7.851, 8.095, 
34.493, 35.807, 34.812, 37.330, 32.490, 32.579, 34.113, 32.358, 34.608, 32.258, 
133.364, 150.859, 142.078, 179.484, 135.776, 138.887, 147.030, 171.435, 136.682, 135.630, 
689.504, 568.708, 672.965, 686.048, 607.498, 581.025, 689.094, 614.737, 648.147, 622.733, 

0.006, 0.007, 0.006, 0.004, 0.004, 0.005, 0.005, 0.004, 0.004, 0.004, 
0.010, 0.007, 0.008, 0.007, 0.007, 0.006, 0.007, 0.006, 0.006, 0.007, 
0.017, 0.018, 0.021, 0.019, 0.021, 0.021, 0.020, 0.020, 0.018, 0.021, 
0.062, 0.059, 0.076, 0.054, 0.077, 0.061, 0.058, 0.056, 0.053, 0.052, 
0.259, 0.241, 0.243, 0.277, 0.223, 0.253, 0.261, 0.267, 0.269, 0.194, 
0.938, 1.183, 1.152, 1.023, 1.038, 1.010, 1.140, 1.069, 1.560, 1.699, 
4.499, 4.228, 4.306, 4.331, 4.533, 4.227, 3.984, 4.218, 4.261, 4.173, 
16.857, 17.268, 17.312, 16.995, 17.001, 17.104, 17.672, 16.877, 16.420, 17.808, 
72.200, 77.688, 75.259, 69.495, 79.313, 71.277, 71.983, 75.132, 71.861, 71.948, 
281.606, 609.887, 300.313, 286.790, 313.418, 308.537, 339.445, 331.142, 341.423, 312.571, 

0.006, 0.006, 0.006, 0.008, 0.006, 0.007, 0.005, 0.006, 0.006, 0.005, 
0.008, 0.013, 0.010, 0.009, 0.010, 0.010, 0.011, 0.010, 0.011, 0.008, 
0.020, 0.021, 0.028, 0.019, 0.017, 0.021, 0.058, 0.024, 0.020, 0.021, 
0.070, 0.053, 0.056, 0.062, 0.055, 0.056, 0.052, 0.049, 0.053, 0.059, 
0.185, 0.186, 0.189, 0.242, 0.204, 0.224, 0.202, 0.193, 0.187, 0.347, 
0.951, 0.786, 0.725, 0.848, 0.773, 0.804, 0.821, 0.751, 0.750, 0.810, 
3.127, 3.192, 4.567, 4.504, 3.841, 3.516, 3.275, 3.906, 3.196, 3.293, 
17.064, 12.038, 19.883, 13.935, 12.530, 13.709, 14.228, 12.966, 12.754, 12.625, 
55.066, 66.081, 75.742, 59.191, 57.041, 56.003, 57.964, 58.998, 60.813, 54.836, 
282.012, 282.091, 294.223, 270.533, 324.163, 255.478, 262.925, 270.380, 242.717, 261.983, 

