0.005, 0.004, 0.003, 0.007, 0.005, 0.006, 0.005, 0.004, 0.005, 0.004, 
0.005, 0.005, 0.011, 0.006, 0.006, 0.007, 0.006, 0.009, 0.007, 0.007, 
0.013, 0.014, 0.019, 0.016, 0.018, 0.017, 0.011, 0.016, 0.011, 0.015, 
0.038, 0.040, 0.042, 0.048, 0.044, 0.041, 0.045, 0.042, 0.038, 0.049, 
0.154, 0.145, 0.147, 0.153, 0.160, 0.145, 0.123, 0.193, 0.141, 0.146, 
0.576, 0.559, 0.796, 0.546, 0.513, 0.709, 0.528, 0.684, 0.658, 0.631, 
2.219, 2.343, 2.340, 2.238, 2.095, 2.392, 2.223, 2.312, 2.168, 2.094, 
9.156, 9.195, 9.634, 8.700, 8.655, 8.524, 12.799, 9.402, 8.857, 8.672, 
37.284, 37.052, 36.615, 37.874, 36.297, 37.785, 36.112, 37.667, 36.067, 36.479, 
154.759, 168.254, 159.250, 155.363, 152.929, 148.730, 153.165, 151.072, 148.753, 154.403, 

0.004, 0.003, 0.006, 0.003, 0.004, 0.003, 0.002, 0.005, 0.005, 0.004, 
0.009, 0.008, 0.009, 0.011, 0.011, 0.007, 0.006, 0.003, 0.008, 0.010, 
0.045, 0.018, 0.020, 0.017, 0.028, 0.020, 0.019, 0.017, 0.016, 0.031, 
0.066, 0.065, 0.057, 0.060, 0.066, 0.068, 0.063, 0.060, 0.056, 0.065, 
0.227, 0.239, 0.253, 0.218, 0.197, 0.220, 0.258, 0.202, 0.219, 0.223, 
0.870, 0.973, 1.016, 1.018, 0.933, 0.891, 0.990, 0.897, 0.933, 0.844, 
4.890, 4.084, 4.127, 3.615, 3.612, 3.470, 3.934, 3.939, 3.940, 3.632, 
17.035, 18.611, 17.078, 20.884, 16.494, 20.795, 30.779, 19.851, 15.260, 20.530, 
76.440, 131.726, 118.497, 115.474, 133.708, 145.711, 128.007, 104.358, 89.114, 80.421, 
399.218, 420.677, 414.863, 418.200, 437.660, 425.146, 417.031, 417.242, 418.377, 428.147, 

0.006, 0.004, 0.005, 0.005, 0.004, 0.003, 0.005, 0.005, 0.007, 0.004, 
0.009, 0.010, 0.010, 0.006, 0.009, 0.011, 0.027, 0.011, 0.010, 0.013, 
0.032, 0.034, 0.032, 0.030, 0.090, 0.034, 0.033, 0.030, 0.040, 0.032, 
0.130, 0.100, 0.106, 0.112, 0.163, 0.109, 0.136, 0.093, 0.103, 0.127, 
0.573, 0.512, 0.346, 0.417, 0.356, 0.380, 0.344, 0.404, 0.383, 0.393, 
2.366, 1.942, 1.830, 1.872, 1.879, 1.718, 1.700, 2.237, 1.528, 1.335, 
6.420, 5.699, 7.694, 6.790, 6.319, 6.318, 6.989, 8.509, 7.107, 5.656, 
28.718, 29.448, 29.449, 28.055, 37.211, 31.329, 29.737, 28.812, 28.716, 28.668, 
152.359, 156.983, 156.698, 168.940, 152.784, 157.265, 155.349, 160.646, 155.348, 181.920, 
536.709, 396.932, 408.411, 588.421, 333.041, 545.693, 550.366, 408.554, 396.802, 575.808, 

